book_id,title,price_gbp,price_inr,rating,in_stock,category_id
1,It's Only the Himalayas,45.17,4765.44,2,1,3
2,Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4,1,3
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.78,3,1,3
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.17,2,1,3
5,Under the Tuscan Sun,37.33,3938.31,3,1,3
6,A Summer In Europe,44.34,4677.87,2,1,3
7,The Great Railway Bazaar,30.54,3221.97,1,1,3
8,A Year in Provence (Provence #1),56.88,6000.84,4,1,3
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1,1,3
10,Neither Here nor There: Travels in Europe,38.95,4109.23,3,1,3
