title,category_name,rating,price_inr,in_stock
A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,5858.42,1
While You Were Mine,Historical Fiction,5,4359.26,1
The Red Tent,Historical Fiction,5,3762.13,1
Mrs. Houdini,Historical Fiction,5,3191.38,1
The Passion of Dolssa,Historical Fiction,5,2987.76,1
Voyager (Outlander #3),Historical Fiction,5,2222.89,1
Between Shades of Gray,Historical Fiction,5,2193.34,1
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,5,1790.33,1
A Paris Apartment,Historical Fiction,4,4115.55,1
World Without End (The Pillars of the Earth #2),Historical Fiction,4,3478.34,1
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,5,5517.65,1
A Time of Torment (Charlie Parker #14),Mystery,5,5100.92,1
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5,2676.54,1
The Silkworm (Cormoran Strike #2),Mystery,5,2431.78,1
The Girl You Lost,Mystery,5,1296.59,1
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,4,6087.35,1
The Past Never Ends,Mystery,4,5960.75,1
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,4,5734.98,1
Sharp Objects,Mystery,4,5045.01,1
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4,4652.55,1
"1,000 Places to See Before You Die",Travel,5,2751.44,1
A Year in Provence (Provence #1),Travel,4,6000.84,1
Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond,Travel,4,5214.86,1
See America: A Celebration of Our National Parks & Treasured Sites,Travel,3,5155.78,1
Neither Here nor There: Travels in Europe,Travel,3,4109.23,1
Under the Tuscan Sun,Travel,3,3938.31,1
It's Only the Himalayas,Travel,2,4765.44,1
A Summer In Europe,Travel,2,4677.87,1
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,2,3897.17,1
The Great Railway Bazaar,Travel,1,3221.97,1
