title,category_name,rating,price_inr,in_stock
A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,5858.42,1
While You Were Mine,Historical Fiction,5,4359.26,1
The Red Tent,Historical Fiction,5,3762.13,1
Mrs. Houdini,Historical Fiction,5,3191.38,1
The Passion of Dolssa,Historical Fiction,5,2987.76,1
Voyager (Outlander #3),Historical Fiction,5,2222.89,1
Between Shades of Gray,Historical Fiction,5,2193.34,1
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,5,1790.33,1
A Paris Apartment,Historical Fiction,4,4115.55,1
World Without End (The Pillars of the Earth #2),Historical Fiction,4,3478.34,1
The Marriage of Opposites,Historical Fiction,4,2962.44,1
Lost Among the Living,Historical Fiction,4,2922.35,1
Glory over Everything: Beyond The Kitchen House,Historical Fiction,3,4836.12,1
The Secret Healer,Historical Fiction,3,3646.08,1
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,3,3132.3,1
Starlark,Historical Fiction,3,2725.06,1
The Constant Princess (The Tudor Court #1),Historical Fiction,3,1753.41,1
The Last Painting of Sara de Vos,Historical Fiction,2,5860.52,1
Girl in the Blue Coat,Historical Fiction,2,4940.56,1
"Love, Lies and Spies",Historical Fiction,2,2168.02,1
Lilac Girls,Historical Fiction,2,1823.04,1
Tipping the Velvet,Historical Fiction,1,5669.57,1
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,1,5225.42,1
The Invention of Wings,Historical Fiction,1,3939.37,1
The House by the Lake,Historical Fiction,1,3898.23,1
Girl With a Pearl Earring,Historical Fiction,1,2824.24,1
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,5,5517.65,1
A Time of Torment (Charlie Parker #14),Mystery,5,5100.92,1
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,5,2676.54,1
The Silkworm (Cormoran Strike #2),Mystery,5,2431.78,1
The Girl You Lost,Mystery,5,1296.59,1
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,4,6087.35,1
The Past Never Ends,Mystery,4,5960.75,1
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,4,5734.98,1
Sharp Objects,Mystery,4,5045.01,1
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4,4652.55,1
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,4,2616.4,1
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,4,2203.9,1
Boar Island (Anna Pigeon #19),Mystery,3,6275.14,1
The Exiled,Mystery,3,4583.98,1
Most Wanted,Mystery,3,3722.04,1
Poisonous (Max Revere Novels #3),Mystery,3,2827.4,1
Extreme Prey (Lucas Davenport #26),Mystery,3,2679.7,1
Blood Defense (Samantha Brinkman #1),Mystery,3,2141.65,1
The Girl In The Ice (DCI Erika Foster #1),Mystery,3,1672.18,1
Playing with Fire,Mystery,3,1446.41,1
The Last Mile (Amos Decker #2),Mystery,2,5719.16,1
In the Woods (Dublin Murder Squad #1),Mystery,2,4049.09,1
The Widow,Mystery,2,2875.93,1
Career of Evil (Cormoran Strike #3),Mystery,2,2607.96,1
A Study in Scarlet (Sherlock Holmes #1),Mystery,2,1765.02,1
1st to Die (Women's Murder Club #1),Mystery,1,5694.89,1
"In a Dark, Dark Wood",Mystery,1,2070.96,1
The Cuckoo's Calling (Cormoran Strike #1),Mystery,1,2026.66,1
A Murder in Time,Mystery,1,1755.52,1
That Darkness (Gardiner and Renner #1),Mystery,1,1468.56,1
Hide Away (Eve Duncan #20),Mystery,1,1249.12,1
Tastes Like Fear (DI Marnie Rome #3),Mystery,1,1127.79,1
"1,000 Places to See Before You Die",Travel,5,2751.44,1
A Year in Provence (Provence #1),Travel,4,6000.84,1
Full Moon over Noahs Ark: An Odyssey to Mount Ararat and Beyond,Travel,4,5214.86,1
See America: A Celebration of Our National Parks & Treasured Sites,Travel,3,5155.78,1
Neither Here nor There: Travels in Europe,Travel,3,4109.23,1
Under the Tuscan Sun,Travel,3,3938.31,1
It's Only the Himalayas,Travel,2,4765.44,1
A Summer In Europe,Travel,2,4677.87,1
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,2,3897.17,1
The Great Railway Bazaar,Travel,1,3221.97,1
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,1,2448.66,1
